INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.2232584953308105	Top1 accuracy: 2.734375
DEBUG:root:Epoch: 26	Loss: 3.823554515838623	Top1 accuracy: 35.546875
DEBUG:root:Epoch: 27	Loss: 3.859738349914551	Top1 accuracy: 34.5703125
DEBUG:root:Epoch: 28	Loss: 3.494400978088379	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 29	Loss: 3.627095937728882	Top1 accuracy: 38.76953125
DEBUG:root:Epoch: 30	Loss: 3.5583505630493164	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 31	Loss: 3.4656031131744385	Top1 accuracy: 38.4765625
DEBUG:root:Epoch: 32	Loss: 3.5671892166137695	Top1 accuracy: 40.13671875
DEBUG:root:Epoch: 33	Loss: 3.374213695526123	Top1 accuracy: 41.11328125
DEBUG:root:Epoch: 34	Loss: 3.291412591934204	Top1 accuracy: 40.0390625
DEBUG:root:Epoch: 35	Loss: 3.428562641143799	Top1 accuracy: 42.28515625
DEBUG:root:Epoch: 36	Loss: 3.4817516803741455	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 37	Loss: 3.386460065841675	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 38	Loss: 3.266606092453003	Top1 accuracy: 42.67578125
DEBUG:root:Epoch: 39	Loss: 3.0998270511627197	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 40	Loss: 3.0629653930664062	Top1 accuracy: 45.60546875
DEBUG:root:Epoch: 41	Loss: 3.510920286178589	Top1 accuracy: 39.74609375
DEBUG:root:Epoch: 42	Loss: 3.069737195968628	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 43	Loss: 3.268512487411499	Top1 accuracy: 44.43359375
DEBUG:root:Epoch: 44	Loss: 3.134204149246216	Top1 accuracy: 44.53125
DEBUG:root:Epoch: 45	Loss: 3.369190216064453	Top1 accuracy: 41.50390625
DEBUG:root:Epoch: 46	Loss: 3.0386829376220703	Top1 accuracy: 46.875
DEBUG:root:Epoch: 47	Loss: 3.0284883975982666	Top1 accuracy: 48.14453125
DEBUG:root:Epoch: 48	Loss: 3.378397226333618	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 49	Loss: 2.9432790279388428	Top1 accuracy: 46.484375
DEBUG:root:Epoch: 50	Loss: 2.819469928741455	Top1 accuracy: 49.4140625
DEBUG:root:Epoch: 51	Loss: 2.937027931213379	Top1 accuracy: 46.58203125
DEBUG:root:Epoch: 52	Loss: 3.1863698959350586	Top1 accuracy: 45.21484375
DEBUG:root:Epoch: 53	Loss: 3.1077795028686523	Top1 accuracy: 47.0703125
DEBUG:root:Epoch: 54	Loss: 3.064387083053589	Top1 accuracy: 46.19140625
DEBUG:root:Epoch: 55	Loss: 2.9500675201416016	Top1 accuracy: 49.31640625
DEBUG:root:Epoch: 56	Loss: 2.9770314693450928	Top1 accuracy: 45.60546875
DEBUG:root:Epoch: 57	Loss: 2.968240976333618	Top1 accuracy: 48.33984375
DEBUG:root:Epoch: 58	Loss: 3.025163173675537	Top1 accuracy: 44.921875
DEBUG:root:Epoch: 59	Loss: 2.7165913581848145	Top1 accuracy: 50.1953125
DEBUG:root:Epoch: 60	Loss: 2.862135887145996	Top1 accuracy: 49.90234375
DEBUG:root:Epoch: 61	Loss: 2.9589643478393555	Top1 accuracy: 48.14453125
DEBUG:root:Epoch: 62	Loss: 2.8441591262817383	Top1 accuracy: 49.4140625
DEBUG:root:Epoch: 63	Loss: 2.9006106853485107	Top1 accuracy: 47.0703125
DEBUG:root:Epoch: 64	Loss: 2.8562569618225098	Top1 accuracy: 51.46484375
DEBUG:root:Epoch: 65	Loss: 2.609708309173584	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 66	Loss: 2.8244311809539795	Top1 accuracy: 50.0
DEBUG:root:Epoch: 67	Loss: 2.763176441192627	Top1 accuracy: 48.4375
DEBUG:root:Epoch: 68	Loss: 2.6645209789276123	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 69	Loss: 2.4575588703155518	Top1 accuracy: 54.4921875
DEBUG:root:Epoch: 70	Loss: 2.662696361541748	Top1 accuracy: 50.390625
DEBUG:root:Epoch: 71	Loss: 2.659407615661621	Top1 accuracy: 52.1484375
DEBUG:root:Epoch: 72	Loss: 2.9269745349884033	Top1 accuracy: 48.828125
DEBUG:root:Epoch: 73	Loss: 2.657597541809082	Top1 accuracy: 52.44140625
DEBUG:root:Epoch: 74	Loss: 2.602120876312256	Top1 accuracy: 54.58984375
DEBUG:root:Epoch: 75	Loss: 2.652622699737549	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 76	Loss: 2.6328036785125732	Top1 accuracy: 54.98046875
DEBUG:root:Epoch: 77	Loss: 2.697312831878662	Top1 accuracy: 51.85546875
DEBUG:root:Epoch: 78	Loss: 2.370962142944336	Top1 accuracy: 58.10546875
DEBUG:root:Epoch: 79	Loss: 2.7166125774383545	Top1 accuracy: 52.734375
DEBUG:root:Epoch: 80	Loss: 2.55147647857666	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 81	Loss: 2.796963691711426	Top1 accuracy: 49.609375
DEBUG:root:Epoch: 82	Loss: 2.3831162452697754	Top1 accuracy: 58.0078125
DEBUG:root:Epoch: 83	Loss: 2.46045184135437	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 84	Loss: 2.5615313053131104	Top1 accuracy: 53.7109375
DEBUG:root:Epoch: 85	Loss: 2.543088674545288	Top1 accuracy: 55.17578125
DEBUG:root:Epoch: 86	Loss: 2.5287585258483887	Top1 accuracy: 54.98046875
DEBUG:root:Epoch: 87	Loss: 2.5478782653808594	Top1 accuracy: 53.80859375
DEBUG:root:Epoch: 88	Loss: 2.472834348678589	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 89	Loss: 2.5634610652923584	Top1 accuracy: 52.63671875
DEBUG:root:Epoch: 90	Loss: 2.439040184020996	Top1 accuracy: 53.515625
DEBUG:root:Epoch: 91	Loss: 2.613806962966919	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 92	Loss: 2.5150258541107178	Top1 accuracy: 55.56640625
DEBUG:root:Epoch: 93	Loss: 2.520930767059326	Top1 accuracy: 56.25
DEBUG:root:Epoch: 94	Loss: 2.268963098526001	Top1 accuracy: 59.86328125
DEBUG:root:Epoch: 95	Loss: 2.3906047344207764	Top1 accuracy: 58.0078125
DEBUG:root:Epoch: 96	Loss: 2.4267919063568115	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 97	Loss: 2.315824031829834	Top1 accuracy: 59.375
DEBUG:root:Epoch: 98	Loss: 2.718611717224121	Top1 accuracy: 49.90234375
DEBUG:root:Epoch: 99	Loss: 2.4650495052337646	Top1 accuracy: 54.1015625
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs/Jun19_02-23-22_autodl-container-7850119152-2889f78b.
